L0,L1,L2,L3,L4,L5,value
2101,2162,20521,,,,55484.0004021421
2101,2162,21157,,,,230544.759622046
2101,2162,21158,,,,86181.9515186917
2101,2162,21161,,,,424271.686502753
2101,2162,21162,,,,361151.575398851
2101,2162,21171,,,,49071.3180223778
2101,2162,21682,,,,8887.82279829179
2101,2162,21807,,,,9329.8588358173
2101,2162,21812,,,,8659.32555160242
2101,2162,21937,,,,31020.575850614
2101,2162,21940,,,,14032.5382444005
2101,2162,21942,,,,27035.4683763143
2101,2162,21946,,,,50165.3106708332
2101,2162,22327,,,,54092.5769369545
2101,2162,22331,,,,75129.4769039895
2101,2162,22332,,,,96357.3564322624
2101,2162,22341,,,,48920.220940353
2101,2162,24151,,,,9374.55016840058
2101,2162,26017,,,,9082.21164488607
2101,2162,26050,,,,27585.0507687024
2101,2162,33850,,,,498952.909104263
2101,2162,34929,,,,49896.1094036491
2101,2162,0,,,,39281.1003030745
2101,2177,2195,,,,139729.57538086
2101,2177,2202,,,,13885.6868707398
2101,2177,0,,,,16806.9244507186
2101,2181,2197,,,,106815.43951237
2101,2181,0,,,,10804.4377154502
2101,2182,2193,,,,37531.3830852846
2101,2182,2198,,,,212064.834471058
2101,2182,2200,,,,10003.5658713532
2101,2182,2201,,,,11146.5230566042
2101,2182,0,,,,1353.29005780174
2101,2183,2199,,,,12472.6202788604
2101,2183,0,,,,1317.41296814309
2101,2191,34777,,,,53276.433285078
2101,2191,0,,,,3761.59644106501
2101,3921,3969,,,,37922.94844773
2101,3921,3982,,,,173725.205889799
2101,3921,4001,,,,17963.6320428213
2101,3921,34791,,,,18145.8435589988
2101,3921,0,,,,23697.6531871348
2101,3969,31016,,,,27654.7699560305
2101,3969,31027,,,,60225.0370873053
2101,3969,31032,,,,66211.0572203979
2101,3969,31035,,,,17346.8729447136
2101,3969,31038,,,,15746.9767849221
2101,3969,31046,,,,110151.174682523
2101,3969,31050,,,,1354132.9202619
2101,3969,31059,,,,164221.389312709
2101,3969,31063,,,,72631.0143081413
2101,3969,31077,,,,85014.8449413918
2101,3969,31078,,,,228836.786377917
2101,3969,31079,,,,88125.5515080115
2101,3969,31080,,,,197837.699036073
2101,3969,31081,,,,229164.21650115
2101,3969,31082,,,,12223.5544966916
2101,3969,31083,,,,94505.4708007047
2101,3969,31084,,,,100620.026684058
2101,3969,31085,,,,130428.950012855
2101,3969,31088,,,,37518.8605829447
2101,3969,34791,,,,844100.840347243
2101,3969,34841,,,,10445.5514808006
2101,3969,34846,,,,18337.7496578562
2101,3969,0,,,,70385.2279927868
2101,3982,3997,,,,4319418.95250578
2101,3982,3998,,,,240144.848033319
2101,3982,3999,,,,43001.8293569879
2101,3982,4000,,,,51035.3864725684
2101,3982,4001,,,,9536789.47441432
2101,3982,4002,,,,1977242.17216958
2101,3982,4003,,,,359731.52395505
2101,3982,4004,,,,216748.635124081
2101,3982,4005,,,,84907.2700981231
2101,3982,4006,,,,16752.036302131
2101,3982,4008,,,,130609.096592886
2101,3982,4011,,,,1119951.4735091
2101,3982,10497,,,,37239.6436907429
