Code;Item;Group
p65;Financial intermediation services, except insurance and pension funding services;Services
p66;Insurance and pension funding services, except compulsory social security services;Services
p67;Services auxiliary to financial intermediation;Services
p70;Real estate services;Services
p71;Renting services of machinery and equipment without operator and of personal and household goods;Services
p72;Computer and related services;Services
p73;Research and development services;Services
p74;Other business services;Services
p75;"Public administration and defence services; compulsory social security services";Services
p80;Education services;Services
p85;Health and social work services;Services
p90.1.a;Food waste for treatment: incineration;Services
p90.1.b;Paper waste for treatment: incineration;Services
p90.1.c;Plastic waste for treatment: incineration;Services
p90.1.d;Intert/metal waste for treatment: incineration;Services
p90.1.e;Textiles waste for treatment: incineration;Services
p90.1.f;Wood waste for treatment: incineration;Services
p90.1.g;Oil/hazardous waste for treatment: incineration;Services
p90.2.a;Food waste for treatment: biogasification and land application;Services
p90.2.b;Paper waste for treatment: biogasification and land application;Services
p90.2.c;Sewage sludge for treatment: biogasification and land application;Services
p90.3.a;Food waste for treatment: composting and land application;Services
p90.3.b;Paper and wood waste for treatment: composting and land application;Services
p90.4.a;Food waste for treatment: waste water treatment;Services
p90.4.b;Other waste for treatment: waste water treatment;Services
p90.5.a;Food waste for treatment: landfill;Services
p90.5.b;Paper for treatment: landfill;Services
p90.5.c;Plastic waste for treatment: landfill;Services
p90.5.d;Inert/metal/hazardous waste for treatment: landfill;Services
p90.5.e;Textiles waste for treatment: landfill;Services
p90.5.f;Wood waste for treatment: landfill;Services
p91;Membership organisation services n.e.c.;Services
p92;Recreational, cultural and sporting services;Services
p93;Other services;Services
p95;Private households with employed persons;Services
p99;Extra-territorial organizations and bodies;Services
